source_row,title,classification,priority,reason,review_status,python_rule_candidate,notes
511,Supported Living Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
512,Supporter Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
513,Team Leader / Senior Care Assistant - Nights,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
514,Temporary PA Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
515,Tenancy Management Support Worker,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
516,Tenancy Support Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
517,Theatre Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
518,Therapeutic Residential Childcare worker,ELASTIC_FIT,2,residential childcare/care worker without support-worker wording,REVIEW,NO - review first,
519,Therapy Support Assistant,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
520,Trainee Hearing Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
521,Trainee Hearing Care Assistant - Midlands / North,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
522,"Trainee Hearing Care Assistant, Lancashire",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
523,"Trainee Hearing Care Assistant, West London",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
524,"Trainee Hearing Care Assistant, Wolverhampton",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
525,"Trainee Hearing Care Assistant, Worcester",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
526,Wake Night Female Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: wake night,STABLE,YES,
527,Wake Night Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
528,Wake Night Support Worker - Bedford,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
529,Wake Night Support Worker - Cottenham,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
530,Wake Night Support Worker Male,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
531,Wake Night Support Worker- Male,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
532,Wake Night Support Workers,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: wake night, night support",STABLE,YES,
533,Waking Night & Days Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: waking night,STABLE,YES,
534,Waking Night Childcare Worker,ELASTIC_FIT,2,residential childcare/care worker without support-worker wording,REVIEW,NO - review first,
535,Waking Night Extra Care Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: waking night,STABLE,YES,
536,Waking Night Recovery Worker,ELASTIC_FIT,2,recovery/outreach/key/project/enabling worker without support-worker wording,REVIEW,NO - review first,
537,Waking Night Residential Childcare Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, residential",STABLE,YES,
538,Waking Night Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, night support",STABLE,YES,
539,Waking Night Support Worker - Female,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, night support",STABLE,YES,
540,Waking Night Support Worker - Mansfield,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, night support",STABLE,YES,
541,Waking Night Support Worker Part Time,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, night support",STABLE,YES,
542,Waking Nights Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, nights",STABLE,YES,
543,Waking Nights Support Workers Childrens Mental Health Services,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, nights",STABLE,YES,
544,Weekend Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
545,Weekend Female Paediatric Healthcare Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
546,Weekend Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
547,Weekend Support Worker - Learning Disabilities St Austell,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
548,Young People Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
549,Young People's Support Worker - Semi-Independent Living,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
550,Young Person Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
551,Young Person Support Worker Wiltshire Leaving Care,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
552,Young Person's Residential Support Worker Hyde,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
553,Youth Residential Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
554,Youth Support Worker,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
555,Youth Support Worker - Oxford,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
556,Youth Support Worker - Reading,ELASTIC_FIT,2,family/youth/young-person support role; adjacent not core care slice,REVIEW,NO - review first,
557,"Youth Support Worker, Primary School based",HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
